,Unnamed: 0,Rad21,ctcf,ctcfloc,nearest,ctcfread
621,36,197.7425834843386,481.946589453968,27692,769.0,532.7649587370754
622,37,25.389528384195746,133.3211786533681,28461,769.0,133.69698235957418
623,38,425.8143757010959,622.8866426604277,29230,769.0,691.9053205664812
624,0,226.9199144782888,335.4614971907017,5,769.0,359.263674767592
625,1,132.73917603858067,401.4745572478821,774,769.0,441.14621754026456
626,2,97.68458979300294,317.4416293504541,1543,769.0,320.3813306579289
627,3,28.952313017133108,77.51050087501227,2312,769.0,66.0999849864273
628,4,459.59921764892,564.357400561875,3081,769.0,654.0347055454162
629,5,1151.4598479400966,1078.8112824489187,3850,769.0,982.1618890062936
630,6,36.87616034362087,213.0985249281812,4619,769.0,264.920412268437
631,7,280.2277447004344,627.509999889685,5388,769.0,659.7292850764377
632,8,982.9374560167208,1046.1354228267212,6157,769.0,1019.2531960053936
633,9,25.18058312000844,191.6406873486081,6926,769.0,154.16696359386506
634,10,61.933519333467565,296.3798696942669,7696,769.0,191.3501186499169
635,11,83.04234858726187,304.7519201069963,8465,769.0,358.52889031197634
636,12,41.94442239288214,179.4554413322218,9234,769.0,214.93976127707867
637,13,550.945801094908,910.996194067975,10003,769.0,875.8936871128758
638,14,15.740543235443573,111.99780429464086,10772,769.0,134.1593951878298
639,15,517.6538556677309,855.5926750130747,11541,769.0,882.2005870235771
640,16,35.772500743041775,193.59620456645052,12310,769.0,153.50871918570937
641,17,1001.040688008744,1101.024568373469,13079,769.0,912.234901646868
642,18,736.8802983672257,1067.712400942242,13848,769.0,885.5683491118156
643,19,344.63110420801337,595.6693240522476,14617,769.0,714.9605833235496
644,20,426.6340840452153,687.3606941064442,15387,769.0,613.9583366953774
645,21,448.3911793750779,557.4949527221041,16156,769.0,550.2157851707171
646,22,593.983167946616,906.048059806391,16925,769.0,704.4286727930581
647,23,9.08108263583283,152.18525171801156,17694,769.0,194.97811689951936
648,24,42.50696733492488,252.32590656840677,18463,769.0,246.50487684956897
649,25,1001.4639361079952,966.4166090579783,19232,769.0,944.014329352246
650,26,1278.8950288108456,1075.1789212285507,20001,769.0,1089.9915078678948
651,27,1046.140719647942,1029.4592696123825,20770,769.0,1153.4585152216991
652,28,515.0500762217046,742.6396462340903,21539,769.0,779.2082991614458
653,29,343.1202692208129,527.989648817592,22308,769.0,520.686634860662
654,30,73.90769024266307,313.84412644799886,23078,769.0,237.13637504046903
655,31,339.9700175453735,524.1047751473624,23847,769.0,554.3183317145714
656,32,19.898018235683264,141.76160434006584,24616,769.0,104.37000871641068
657,33,398.6782792111293,715.6445685884305,25385,769.0,791.7608669448804
658,34,510.81223765831584,791.9844732263887,26154,769.0,877.791880289883
659,35,1053.7484702927106,997.541608348577,26923,769.0,1224.7172994069283
660,36,191.92961908323028,448.57302395411926,27692,769.0,377.3424339776362
661,37,24.1733597952081,124.08902889721708,28461,769.0,87.88328249353384
662,38,210.5686081629131,579.7533398781404,29230,769.0,465.2563324901541
663,0,178.07494079634904,335.5558084301254,5,769.0,304.316911886121
664,1,110.56419018034345,401.5874273191368,774,769.0,454.1938331672598
665,2,69.08051888284868,317.5308745060366,1543,769.0,218.99670291814945
666,3,11.3259048331272,77.53229208344331,2312,769.0,93.481671886121
667,4,338.4698976999262,564.5160633186167,3081,769.0,631.3113595729538
668,5,1239.2704346075302,1079.1145781475432,3850,769.0,1028.3137030604985
669,6,53.22210908811997,213.15843518963788,4619,769.0,191.77141010676155
670,7,349.23861516188725,627.6864172917891,5388,769.0,614.5443766548043
671,8,1076.0895408481224,1046.429532073708,6157,769.0,1143.4776103914592
672,9,41.75154984132463,191.6945649795709,6926,769.0,186.3967881850534
673,10,141.99705851334122,296.46319357222364,7696,769.0,295.297959430605
674,11,65.9892004870519,304.8375976930762,8465,769.0,473.4260985053381
675,12,29.27376726972896,179.5058932178632,9234,769.0,192.8279597153025
676,13,682.4634509736245,911.2523104357024,10003,769.0,1097.8928540925267
677,14,17.187087372124907,112.02929122182684,10772,769.0,142.35857551601424
678,15,554.6746704250199,855.8332153024912,11541,769.0,1061.388299501779
679,16,54.084677999252165,193.65063196915776,12310,769.0,247.63072854092525
680,17,1241.4991840921948,1101.3341090884207,13079,769.0,1277.9044076868329
681,18,981.9891659715632,1068.012576314749,13848,769.0,934.1276647686832
682,19,366.46320553014834,595.8367898052732,14617,769.0,576.7535877580071
683,20,459.9474597558988,687.5539378603031,15387,769.0,920.668141494662
684,21,373.5030536619975,557.6516861785633,16156,769.0,473.47203544483983
685,22,709.6477656014804,906.3027850616388,16925,769.0,868.3612797153027
686,23,21.810671038628584,152.22803689554078,17694,769.0,105.34871459074736
687,24,65.97312777442211,252.39684516847407,18463,769.0,231.49155046263343
688,25,1047.8015666196873,966.6883062541192,19232,769.0,1177.4250086832742
689,26,1024.565781727884,1075.481195729537,20001,769.0,1061.5720472597866
690,27,935.8872685784412,1029.7486905458322,20770,769.0,1034.1630066903913
691,28,477.7238799244495,742.8484310456648,21539,769.0,722.7411814946619
692,29,344.4918073652218,528.1380871886118,22308,769.0,464.68276768683273
693,30,131.76945570991649,313.93236020596817,23078,769.0,438.71308455516026
694,31,164.8578134437829,524.2521213296993,23847,769.0,462.9065393594306
695,32,64.74624404368127,141.80145902598352,24616,769.0,163.10675985765124
696,33,474.2361012837845,715.8457640365388,25385,769.0,826.3289800711744
697,34,520.3594289604126,792.2071307829184,26154,769.0,836.5576052669039
698,35,946.088083527483,997.8220559893584,26923,769.0,990.3697910320284
699,36,136.85914804268415,448.6991352313164,27692,769.0,513.3912358718861
700,37,20.487351032108997,124.12391513665794,28461,769.0,115.9601476156584
701,38,269.2554395451626,579.9163310306327,29230,769.0,533.0216213523132
702,0,97.89353505719023,354.92512061756435,5,769.0,399.9810323527751
703,1,99.07220065004172,424.76828741715104,774,769.0,469.85138275647904
704,2,121.9275980096068,335.85973212954764,1543,769.0,332.2323824365272
705,3,86.64263621633542,82.00769418420784,2312,769.0,76.46219848305196
706,4,227.07528403371012,597.1016648505873,3081,769.0,534.6685228389138
707,5,1133.2441069596648,1141.4043869514596,3850,769.0,900.8967016355184
708,6,70.99852925667061,225.4625949533744,4619,769.0,249.19453206105436
709,7,331.21574673301313,663.9184057327565,5388,769.0,690.7187838819567
710,8,979.38002895466,1106.8326596002933,6157,769.0,958.101633862195
711,9,45.67864929387063,202.7597642115424,6926,769.0,233.38705362016077
712,10,155.62671882340535,313.57595992620344,7696,769.0,342.7922963130259
