Rad21,ctcf
3578,2907.1261682242925
46226,11025.0
9694,5324.999999999998
39056,9562.499999999996
14861,1874.9999999999995
37175,7813.476562499999
7154,2116.9354838709733
3655,12268.7165775401
38205,12270.34883720931
323,1544.1176470588234
24781,9348.02158273381
27843,7585.714285714279
44078,9624.999999999998
8789,4235.294117647058
24869,5196.537678207739
8289,1852.9411764705817
14768,7031.249999999994
29070,7185.937500000002
18689,12779.069767441866
8108,1936.1702127659532
44057,11004.36681222708
3194,3547.7815699658745
29395,5249.999999999995
25617,5702.586206896545
7714,3590.073529411761
25282,5678.571428571431
345,889.8305084745758
35142,8995.2229299363
9938,7394.817073170728
26722,6120.466321243522
17813,7980.000000000006
27070,8647.058823529407
40580,12854.032258064524
37721,8237.447698744765
845,787.5000000000001
5613,1539.4736842105256
30282,11834.254143646403
14680,5313.253012048185
1612,2446.601941747577
44875,9086.538461538465
14216,4429.6875
34432,7906.374501992032
7149,2845.1612903225864
18436,5291.338582677168
24012,10805.232558139536
32609,6552.0
2326,1819.7211155378532
29467,7087.499999999999
1554,889.8305084745759
41479,9575.77132486389
6388,2128.3783783783765
35654,13468.393327480242
6956,2848.404255319145
3457,1897.8873239436548
22139,8383.064516129032
2588,1732.5
5373,1172.8723404255325
1502,2853.658536585365
1231,1078.7671232876712
2795,1778.2258064516188
9318,1300.4587155963295
9467,3426.315789473688
4666,1837.5000000000052
26543,9958.520179372195
31791,5365.384615384621
15148,11505.319148936169
26533,7249.999999999996
13151,7068.89763779527
45777,10554.123711340204
27644,6985.355648535557
13968,4225.609756097558
26432,5990.384615384609
28350,10554.123711340204
14122,9571.823204419888
7437,5305.2631578947385
46414,12054.151624548742
27502,8665.662650602404
354,891.5094339622649
17039,11052.631578947365
32381,10806.05381165919
7912,1626.3586956521676
26049,9780.821917808224
435,821.0900473933641
36773,9977.98295454545
1578,1483.695652173912
20664,9975.819032761316
17894,5539.655172413786
28952,9348.02158273381
14439,5849.999999999993
5304,2994.296577946773
16875,4822.966507177035
28663,9303.701015965164
20443,5962.962962962954
28492,10271.739130434778
36007,9051.724137931036
4544,4157.360406091369
49894,8835.365853658543
21684,8444.680851063822
47234,8876.644736842103
30999,11374.999999999996
417,2250.000000000002
5621,3270.9109137782807
9249,4540.540540540536
17416,5979.946524064175
1920,1421.0526315789468
17750,10237.5
28860,11052.631578947365
866,828.9473684210521
19282,6902.2058823529405
21477,12685.669456066944
40280,8842.105263157897
9491,1648.255813953493
17573,12644.366197183102
23293,7094.192634560902
177,928.290766208252
7750,3666.666666666671
24741,4530.337078651682
34548,8501.204819277104
51474,9881.691648822269
5329,1300.4587155963295
2485,2051.470588235292
4605,2362.5
18779,5378.0487804878
25219,7607.547169811315
16518,8297.560975609756
8268,4077.4729520865535
38076,9156.976744186042
20197,4394.684325108845
43690,10892.523364485982
17564,6473.300970873791
24539,6402.439024390238
51127,7875.0
836,1223.300970873787
2501,2665.384615384611
45503,10766.6015625
21491,5985.0
7552,3962.264150943394
28973,8775.659824046923
5547,3423.91304347826
8763,3530.172413793107
27060,9125.536480686693
8774,1936.4754098360631
23106,9061.643835616444
24539,12303.191489361696
5304,1421.0526315789468
24771,7460.526315789477
3227,5354.2183622828825
6427,6637.499999999994
1280,1185.4838709677424
13342,9083.096590909085
35843,9639.632107023408
37624,8232.95454545455
44426,8685.436893203889
2974,1223.3009708737873
26458,11340.0
23871,7204.787234042547
30627,5553.947368421047
14432,3365.3846153846207
5232,2840.1639344262294
3575,1025.0000000000002
41213,10332.802547770703
50483,9884.164222873898
3431,2228.773584905658
20177,10102.796052631584
6160,5084.310189359788
56941,13039.53488372093
18961,11161.872705018355
35211,10258.223684210525
12264,3198.275862068968
2426,1114.6153846153852
49763,6843.38521400779
3236,2971.69811320755
18104,8826.086956521744
43994,10928.571428571428
17964,11666.666666666672
14963,9352.827763496138
26801,6471.534653465349
761,1804.687499999995
33967,9479.508196721315
29542,7842.32365145229
32752,9321.428571428578
954,956.7757009345798
1053,1064.1891891891896
6059,4038.461538461532
56136,9860.294117647056
24213,11132.876712328763
15410,3144.177449168207
10302,1924.563591022448
18226,5127.906976744183
20971,9419.117647058816
33201,8989.0243902439
30543,7331.896551724133
19156,5461.300309597525
9226,6194.999999999994
22940,5461.300309597524
12548,11186.07954545455
18542,6948.529411764702
5725,1504.4776119402984
2632,1328.313253012049
42882,10757.812499999996
50955,12941.082802547771
4481,3262.4999999999977
13519,5088.461538461537
4069,3937.5
35603,6963.157894736846
8496,2090.707964601764
21124,6255.3191489361725
