birth,deltactcf,sep,face,frip
1.0,600,1000,1.0,9.683333333333333e-05
1.0,700,1000,1.0,0.00020416666666666668
1.0,800,1000,1.0,0.00018516666666666668
1.0,900,1000,1.0,9.616666666666667e-05
0.0001,1000,1000,1.0,0.00012316666666666666
0.0001,100,1000,1.0,0.00011866666666666667
0.0001,10,1000,1.0,0.00013466666666666667
0.0001,1100,1000,1.0,0.00013083333333333333
0.0001,1300,1000,1.0,0.00011983333333333334
0.0001,1500,1000,1.0,0.000121
0.0001,150,1000,1.0,4.6166666666666666e-05
0.0001,200,1000,1.0,7.3e-05
0.0001,3000,1000,1.0,0.00013666666666666666
0.0001,300,1000,1.0,0.00013033333333333332
0.0001,30,1000,1.0,7.5e-05
0.0001,400,1000,1.0,9.3e-05
0.0001,500,1000,1.0,8.9e-05
0.0001,50,1000,1.0,0.00013466666666666667
0.0001,600,1000,1.0,8.116666666666667e-05
