birth,life,deltactcf,clife,cof,sep,face,frip
0.00075,66,100,17.0,1.7,74,1.0,0.01203448442716818
0.00075,66,10,17.0,1.7,100,1.0,0.012424913305053307
0.00075,66,10,17.0,1.7,74,1.0,0.011969076424309574
0.00075,66,1500,17.0,1.7,100,1.0,0.011900916143808771
0.00075,66,1500,17.0,1.7,74,1.0,0.01201825835900579
0.00075,66,200,17.0,1.7,100,1.0,0.012142182938434491
0.00075,66,200,17.0,1.7,74,1.0,0.011953623321467963
0.00075,66,20,17.0,1.7,100,1.0,0.012408698527395604
0.00075,66,20,17.0,1.7,74,1.0,0.011963522984862038
0.00075,66,3000,17.0,1.7,100,1.0,0.012092517621251955
0.00075,66,3000,17.0,1.7,74,1.0,0.011924781665212962
0.00075,66,400,17.0,1.7,100,1.0,0.012043661994548299
0.00075,66,400,17.0,1.7,74,1.0,0.0120733150782829
0.00075,66,40,17.0,1.7,100,1.0,0.01212243907159793
0.00075,66,40,17.0,1.7,74,1.0,0.012129428886570131
0.00075,66,4,17.0,1.7,100,1.0,0.01228869014016355
0.00075,66,4,17.0,1.7,74,1.0,0.012184213889305908
0.00075,66,5000,17.0,1.7,100,1.0,0.01188204809754996
0.00075,66,5000,17.0,1.7,74,1.0,0.011930192422458427
0.00075,66,8,17.0,1.7,100,1.0,0.012543763609090468
0.00075,66,8,17.0,1.7,74,1.0,0.011896864341484415
0.001,66,1000,17.0,1.7,100,1.0,0.012206388812722785
0.001,66,1000,17.0,1.7,74,1.0,0.011888996968933743
0.001,66,100,17.0,1.7,100,1.0,0.012041621639058694
0.001,66,100,17.0,1.7,74,1.0,0.012113886452262877
0.001,66,10,17.0,1.7,100,1.0,0.01233287956257359
0.001,66,10,17.0,1.7,74,1.0,0.01199677041937401
0.001,66,1500,17.0,1.7,100,1.0,0.012166068807561412
0.001,66,1500,17.0,1.7,74,1.0,0.011945326661596279
0.001,66,200,17.0,1.7,100,1.0,0.012145353957321893
0.001,66,200,17.0,1.7,74,1.0,0.012132742835802563
0.001,66,20,17.0,1.7,100,1.0,0.012373006016226068
0.001,66,20,17.0,1.7,74,1.0,0.012232105480609488
0.001,66,3000,17.0,1.7,100,1.0,0.012225084275552831
0.001,66,3000,17.0,1.7,74,1.0,0.01167353815880405
0.001,66,400,17.0,1.7,100,1.0,0.01228477072210842
0.001,66,400,17.0,1.7,74,1.0,0.011857817805994389
0.001,66,40,17.0,1.7,100,1.0,0.012214008290456298
0.001,66,40,17.0,1.7,74,1.0,0.012161464142721906
0.001,66,4,17.0,1.7,100,1.0,0.012287744963628446
0.001,66,4,17.0,1.7,74,1.0,0.012077847409449533
0.001,66,5000,17.0,1.7,100,1.0,0.01219555315408313
